#rname	startpos	endpos	numreads	covbases	coverage	meandepth	meanbaseq	meanmapq
chr1	1	248956422	1077913	38831638	15.5978	0.430222	35	54.6
chr10	1	133797422	490020	21052411	15.7345	0.363342	35	56.4
chr11	1	135086622	620381	22425360	16.6007	0.456411	35	57.3
chr11_KI270721v1_random	1	100316	423	12472	12.4327	0.419574	34.2	1.52
chr12	1	133275309	563458	21759765	16.3269	0.419983	35	57.5
chr13	1	114364328	280543	14321060	12.5223	0.24359	35.1	58
chr14	1	107043718	357306	14249658	13.312	0.331613	35	55.7
chr14_GL000009v2_random	1	201709	741	42963	21.2995	0.364907	35.1	21.8
chr14_GL000225v1_random	1	211173	79	4288	2.03056	0.0330108	34.9	2.13
chr14_KI270722v1_random	1	194050	144	10471	5.39603	0.0722288	35.3	35.3
chr14_GL000194v1_random	1	191469	1255	50449	26.3484	0.651286	35	24.5
chr14_KI270723v1_random	1	38115	161	7821	20.5195	0.413486	34.9	39.1
chr14_KI270724v1_random	1	39555	127	7225	18.2657	0.314853	35.4	33.7
chr14_KI270725v1_random	1	172810	459	24582	14.2249	0.263416	34.9	24.9
chr14_KI270726v1_random	1	43739	232	5620	12.8489	0.528247	35.3	36.1
chr15	1	101991189	377280	13807042	13.5375	0.367585	35	51.4
chr15_KI270727v1_random	1	448248	850	39711	8.85916	0.188547	35.2	0
chr16	1	90338345	436691	13989919	15.4861	0.479917	34.9	52.4
chr16_KI270728v1_random	1	1872759	4804	175457	9.3689	0.254309	35	11.7
chr17	1	83257441	493580	14619249	17.5591	0.588724	34.9	54.8
chr17_GL000205v2_random	1	185591	7	457	0.24624	0.00308743	36.6	0
chr17_KI270729v1_random	1	280839	1099	33568	11.9528	0.31861	35.1	21
chr17_KI270730v1_random	1	112551	257	12256	10.8893	0.176462	35.1	19.1
chr18	1	80373285	232712	11601472	14.4345	0.287411	35.1	56.1
chr19	1	58617616	495954	12039587	20.5392	0.840252	34.7	56.8
chr1_KI270706v1_random	1	175055	726	40040	22.8728	0.410814	35	24.1
chr1_KI270707v1_random	1	32032	49	2856	8.91608	0.150599	34.8	18.1
chr1_KI270708v1_random	1	127682	70	5305	4.15485	0.0537037	35	25.3
chr1_KI270709v1_random	1	66860	714	26072	38.9949	1.05082	35.2	16
chr1_KI270710v1_random	1	40176	45	3431	8.53992	0.108722	35.7	24.3
chr1_KI270711v1_random	1	42210	1527	16868	39.9621	3.60152	35.1	16
