#rname	startpos	endpos	numreads	covbases	coverage	meandepth	meanbaseq	meanmapq
chr1	1	248956422	2291840	67244856	27.0107	0.916287	35.1	54.7
chr10	1	133797422	1047481	37643675	28.1348	0.777973	35.1	56.4
chr11	1	135086622	1192180	35340666	26.1615	0.878542	35.1	57.3
chr11_KI270721v1_random	1	100316	1040	27729	27.6417	1.03208	34.6	2.35
chr12	1	133275309	1175365	37331845	28.0111	0.877432	35.1	57.5
chr13	1	114364328	562384	24481837	21.4069	0.488857	35.2	57.5
chr14	1	107043718	754395	24821665	23.1883	0.701251	35.1	55.5
chr14_GL000009v2_random	1	201709	1734	82138	40.721	0.853928	35.3	22.8
chr14_GL000225v1_random	1	211173	9950	122492	58.0055	4.42456	35.2	23.5
chr14_KI270722v1_random	1	194050	801	43826	22.5849	0.406916	35.3	36
chr14_GL000194v1_random	1	191469	2918	87860	45.8873	1.51707	35.1	24.7
chr14_KI270723v1_random	1	38115	697	17924	47.0261	1.75031	34.9	32.8
chr14_KI270724v1_random	1	39555	485	16150	40.8292	1.17636	35.1	31.5
chr14_KI270725v1_random	1	172810	1148	49420	28.5979	0.659302	35.4	26.3
chr14_KI270726v1_random	1	43739	566	8369	19.134	1.28922	35	35.8
chr15	1	101991189	812983	24110279	23.6396	0.79329	35.1	51.4
chr15_KI270727v1_random	1	448248	1731	62984	14.0512	0.384765	35.3	0
chr16	1	90338345	960878	24791568	27.443	1.058	35	52.7
chr16_KI270728v1_random	1	1872759	9746	290423	15.5078	0.517735	35.1	12
chr17	1	83257441	1085317	25171414	30.2332	1.29705	35	54.8
chr17_GL000205v2_random	1	185591	2882	96738	52.1243	1.53639	35.3	47.1
chr17_KI270729v1_random	1	280839	2442	56188	20.0072	0.694626	34.9	19.1
chr17_KI270730v1_random	1	112551	532	21501	19.1033	0.36874	34.9	19.8
chr18	1	80373285	483044	20656518	25.7007	0.597448	35.2	56.1
chr19	1	58617616	1080908	19851707	33.8665	1.83552	34.9	56.9
chr1_KI270706v1_random	1	175055	1332	61715	35.2546	0.757602	35.2	20.6
chr1_KI270707v1_random	1	32032	134	8879	27.7192	0.416302	35.3	29.5
chr1_KI270708v1_random	1	127682	494	28256	22.13	0.376059	35.3	28.7
chr1_KI270709v1_random	1	66860	1365	34001	50.854	1.98461	35.1	16.6
chr1_KI270710v1_random	1	40176	125	8232	20.4898	0.306352	35.3	23.8
chr1_KI270711v1_random	1	42210	3098	21913	51.9142	7.32151	35.3	15.4
chr1_KI270712v1_random	1	176043	1149	47874	27.1945	0.641122	34.9	11.8
chr1_KI270713v1_random	1	40745	4256	23097	56.6867	10.4137	34.8	20
chr1_KI270714v1_random	1	41717	1538	22988	55.1046	3.65812	34.7	25.1
chr2	1	242193529	1842179	66279606	27.3664	0.755943	35.2	56.4
chr20	1	64444167	618973	19457547	30.1929	0.954916	35.1	57.5
chr21	1	46709983	312621	10682772	22.8704	0.664488	35.1	49.1
chr22	1	50818468	506539	12526660	24.6498	0.991685	35	53.4
chr22_KI270731v1_random	1	150754	3299	60506	40.1356	2.167	35	8.08
chr22_KI270732v1_random	1	41543	321	15272	36.7619	0.761139	35.3	36.1
chr22_KI270733v1_random	1	179772	9153	89069	49.5455	5.0278	33.9	5.15
chr22_KI270734v1_random	1	165050	3192	65242	39.5286	1.90901	35.1	6.8
chr22_KI270735v1_random	1	42811	471	18531	43.2856	1.00757	34.9	32.6
chr22_KI270736v1_random	1	181920	899	31237	17.1707	0.34065	34.7	24.1
chr22_KI270737v1_random	1	103838	317	14193	13.6684	0.252258	35.1	11.1
chr22_KI270738v1_random	1	99375	327	18910	19.0289	0.311879	34.9	40.2
chr22_KI270739v1_random	1	73985	119	8217	11.1063	0.157275	35.6	14.7
chr2_KI270715v1_random	1	161471	253	16945	10.4941	0.153619	35	2.19
chr2_KI270716v1_random	1	153799	269	18140	11.7946	0.170619	35.1	3.75
chr3	1	198295559	1269456	48065145	24.2391	0.636741	35.2	58.1
chr3_GL000221v1_random	1	155397	1357	57786	37.186	0.866683	35.3	7.49
chr4	1	190214555	1153691	47553456	24.9999	0.602428	35.2	55.7
chr4_GL000008v2_random	1	209709	1482	68390	32.6119	0.690504	35.1	22.7
chr5	1	181538259	1236639	47650665	26.2483	0.677327	35.2	56.7
chr5_GL000208v1_random	1	92689	311	20409	22.0188	0.328076	35.1	34.7
chr6	1	170805979	1169807	44673534	26.1545	0.681338	35.2	56.2
chr7	1	159345973	1251182	43132103	27.0682	0.780886	35.1	54.5
chr8	1	145138636	987472	38388514	26.4495	0.67674	35.2	55.2
chr9	1	138394717	1160141	35807076	25.8732	0.834219	35.1	55.3
chr9_KI270717v1_random	1	40062	347	9231	23.0418	0.858444	35.3	9.98
chr9_KI270718v1_random	1	38054	268	11794	30.9928	0.69475	35.4	6.55
chr9_KI270719v1_random	1	176845	1598	58163	32.8893	0.900574	35.2	27.3
chr9_KI270720v1_random	1	39050	474	13432	34.3969	1.20543	35.3	40.7
chr1_KI270762v1_alt	1	354444	4805	93774	26.4566	1.34956	34.6	1.29
chr1_KI270766v1_alt	1	256271	3145	62102	24.2329	1.22405	35.1	2.14
chr1_KI270760v1_alt	1	109528	300	18256	16.6679	0.272853	34.9	7.95
chr1_KI270765v1_alt	1	185285	711	36069	19.4668	0.380479	35.3	4.17
chr1_GL383518v1_alt	1	182439	1671	42912	23.5213	0.910502	35.2	0.0503
chr1_GL383519v1_alt	1	110268	3451	45362	41.138	3.1244	35	0
